Uid,Hashed Id,Total Hours,Total Price,Unit Price,Package,Installments,Crm Deal Id,Discount,Stripe Url,Stripe Customer Id,Extra Student,Active,Created At,Last Updated,Booking Date,Upsell
157,398b9da9dbe68a9e34c5fb8f7e583f45281df7c1118eacabd22a2f40,144,32976.0,229.0,18-months-229,18,378710000014810488,,toptutors.dk/order/398b9da9dbe68a9e34c5fb8f7e583f45281df7c1118eacabd22a2f40,cus_NUI5nf8JaKwtli,,True,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,,
155,4f99b5dff5dd54816956b983b294fd97c8d96f9a223322d4203d674d,8,3192.0,399.0,single-399,1,378710000015584333,,toptutors.dk/order/4f99b5dff5dd54816956b983b294fd97c8d96f9a223322d4203d674d,cus_NaLhx4hbIE1rfc,,True,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,,
158,7242953232b2eebadd72a39a89096aa6dfe1248eb5f255e934ddf209,8,3192.0,399.0,single-399,1,378710000015584333,,toptutors.dk/order/7242953232b2eebadd72a39a89096aa6dfe1248eb5f255e934ddf209,cus_NaLhx4hbIE1rfc,,False,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,2023-03-27 10:15:48.379854,
161,8a3417c603a51051af3982a686439dc8c0cc0670124d7da736752943,72,19368.0,269.0,9-months-269,9,378710000015549400,,toptutors.dk/order/8a3417c603a51051af3982a686439dc8c0cc0670124d7da736752943,cus_NbWom3SPl0pTRN,,True,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,,
164,d9fd663864a47e847e881c97e6438f1177fd30f5a696b38332a4dbc1,144,32976.0,229.0,18-months-229,18,378710000013331272,,toptutors.dk/order/d9fd663864a47e847e881c97e6438f1177fd30f5a696b38332a4dbc1,cus_NRjyv1cQ8eqNlj,,True,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,,
160,da8acb23706ced022add85ffade0a2dfb9cafe25f939abd5326bba15,144,32976.0,229.0,18-months-229,18,378710000015381054,,toptutors.dk/order/da8acb23706ced022add85ffade0a2dfb9cafe25f939abd5326bba15,cus_NbU73S197qQ51r,,False,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,2023-03-28 15:55:32.943575,
167,235ad55e513108e9cff5a406a571f41ace05207755295365c30afffb,144,32976.0,229.0,18-months-229,18,378710000015581634,,toptutors.dk/order/235ad55e513108e9cff5a406a571f41ace05207755295365c30afffb,cus_NcaXita4OkQ8W8,,False,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,2023-03-30 13:54:20.992480,
166,b0872287b35ac05a20d8b396dc27bcee891242b085f47a5fb8c95a33,144,32976.0,229.0,18-months-229,18,378710000015351849,,toptutors.dk/order/b0872287b35ac05a20d8b396dc27bcee891242b085f47a5fb8c95a33,cus_NcVFhOPsbXCiHQ,,False,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,2023-03-30 09:52:37.104038,
168,4675c4721a8bd17cbec8bcd2cb170d250795fb5eee537372b45d4c66,144,32976.0,229.0,18-months-229,18,378710000014768605,,toptutors.dk/order/4675c4721a8bd17cbec8bcd2cb170d250795fb5eee537372b45d4c66,cus_NcuD6sSVqhVrAQ,,False,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,2023-03-31 15:45:11.196876,
163,1b545e3a534062b5034510a93ee5421b9b32447c9fbebbefd5d0761d,96,21513.6,249.0,12-months-249,12,378710000004553069,10,toptutors.dk/order/1b545e3a534062b5034510a93ee5421b9b32447c9fbebbefd5d0761d,cus_LZziRCkABayuRH,,False,2023-03-21 07:20:34.947201,2023-04-06 08:44:48.648215,,
226,a757e4f076d3b0210b59f31265b1dce82b9cee57a3c0062566e7335f,72,19368.0,269.0,18-months-269,18,378710000016080821,,toptutors.dk/order/a757e4f076d3b0210b59f31265b1dce82b9cee57a3c0062566e7335f,cus_NkSZ2b8ZeO6Vlr,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
184,0a59165e65673dd710f9e1a6495c4ba9d23a2389e57e3069c8bc6f55,24,7416.0,309.0,3-months-309,3,378710000015590090,,toptutors.dk/order/0a59165e65673dd710f9e1a6495c4ba9d23a2389e57e3069c8bc6f55,cus_NfboThpHXGLxeQ,,False,2023-04-06 08:44:48.648179,2023-04-06 08:44:48.648215,,False
177,f4914181999c8506dc0bc95701dbff8bc0d86a5063e634b5df3b828b,144,32976.0,229.0,18-months-229,18,378710000015335226,,toptutors.dk/order/f4914181999c8506dc0bc95701dbff8bc0d86a5063e634b5df3b828b,cus_Ne5GVLdcUuaDRl,,True,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,,
171,76aa3a5a589989c960b3f151b2d1fcb45387962c58be5ad8d43faa0a,144,32976.0,229.0,36-months-229,36,378710000014779689,,toptutors.dk/order/76aa3a5a589989c960b3f151b2d1fcb45387962c58be5ad8d43faa0a,cus_NUNWuaOzhNnZpP,,False,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,2023-03-31 16:02:18.333901,
176,1fe159666d657db0655a81a9e61be54ab98a59c7a80163de16628789,96,23904.0,249.0,12-months-249,12,378710000015256717,,toptutors.dk/order/1fe159666d657db0655a81a9e61be54ab98a59c7a80163de16628789,cus_Ne2qoWKCtjec1n,,False,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,2023-04-03 13:06:55.763613,
172,f7c3e517ea63ed3fc2e05d6b4a06e7a0ff5a5d25af2141ea0e6ff933,24,7416.0,309.0,3-months-309,3,378710000015863448,,toptutors.dk/order/f7c3e517ea63ed3fc2e05d6b4a06e7a0ff5a5d25af2141ea0e6ff933,cus_NczXDduVqWSioN,,False,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,2023-03-31 17:03:02.757667,
218,382609eaef4f7a8cc9c3362b943ce9e11eeedfc8b53800874a33add4,144,32976.0,229.0,18-months-229,18,378710000015785109,,toptutors.dk/order/382609eaef4f7a8cc9c3362b943ce9e11eeedfc8b53800874a33add4,cus_Nh5DCZA4y5lwPA,,False,2023-04-06 08:44:48.648179,2023-04-06 08:44:48.648215,,False
181,5447dc8c084f3ddd290ef21377a3146c52d43c3431c3f20665c47c6d,48,13872.0,289.0,6-months-289,6,378710000016268344,,toptutors.dk/order/5447dc8c084f3ddd290ef21377a3146c52d43c3431c3f20665c47c6d,cus_NerFOEVvYDd6X7,,False,2023-04-04 14:38:17.844288,2023-04-04 14:38:17.844309,,False
174,bd781eeb1532d06912d3bacaf77333888dc5102195113b7e3db6b2f5,96,21513.6,249.0,12-months-249,12,378710000015626001,10,toptutors.dk/order/bd781eeb1532d06912d3bacaf77333888dc5102195113b7e3db6b2f5,cus_LwV3MArihFuIq5,,True,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,,
178,15eeefe77c87d58b76d939caeff320948e24bcaeb5fb354e9fc5ffc8,144,32976.0,229.0,18-months-229,18,378710000015335226,,toptutors.dk/order/15eeefe77c87d58b76d939caeff320948e24bcaeb5fb354e9fc5ffc8,cus_Nen7t0qy2ydka3,,False,2023-04-04 14:38:17.844288,2023-04-04 14:38:17.844309,,False
173,5a3dcd80753ca5b797812f9fd69f2b32a0f64c65dd709058a7e55225,48,13872.0,289.0,12-months-289,12,378710000007581439,,toptutors.dk/order/5a3dcd80753ca5b797812f9fd69f2b32a0f64c65dd709058a7e55225,cus_MGgAm0BZuifrFN,,False,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,2023-04-01 14:10:31.627442,
